GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BibliotecaSolidGoF,edu.pe.biblioteca,BibliotecaSolidGoF,163,0,0,0,36,0,2,0,2,0
BibliotecaSolidGoF,edu.pe.biblioteca.service,BibliotecaService,88,141,6,4,25,35,10,10,6,9
BibliotecaSolidGoF,edu.pe.biblioteca.service,ReporteCSV,1,102,1,3,0,17,1,5,0,4
BibliotecaSolidGoF,edu.pe.biblioteca.service,ReporteTexto,10,98,2,4,1,16,2,5,0,4
BibliotecaSolidGoF,edu.pe.biblioteca.service,GeneradorReporte,2,33,0,0,1,6,1,2,1,2
BibliotecaSolidGoF,edu.pe.biblioteca.adapter,AdaptadorCSV,163,0,18,0,33,0,13,0,4,0
BibliotecaSolidGoF,edu.pe.biblioteca.adapter,AdaptadorJSON,59,0,0,0,11,0,2,0,2,0
BibliotecaSolidGoF,edu.pe.biblioteca.factory,MaterialFactory,5,59,2,7,1,7,3,4,1,1
BibliotecaSolidGoF,edu.pe.biblioteca.domain,Revista,8,14,0,0,3,5,3,2,3,2
BibliotecaSolidGoF,edu.pe.biblioteca.domain,Libro,3,13,0,0,1,5,1,3,1,3
BibliotecaSolidGoF,edu.pe.biblioteca.domain,Usuario,0,51,0,0,0,18,0,9,0,9
BibliotecaSolidGoF,edu.pe.biblioteca.domain,MaterialBibliotecario,9,32,0,0,3,13,3,5,3,5
BibliotecaSolidGoF,edu.pe.biblioteca.domain,Prestamo,2,148,4,12,1,45,4,21,0,17
BibliotecaSolidGoF,edu.pe.biblioteca.strategy,NotificadorEmail,46,0,2,0,13,0,5,0,4,0
BibliotecaSolidGoF,edu.pe.biblioteca.strategy,MultaPorDia,0,20,0,2,0,7,0,3,0,2
BibliotecaSolidGoF,edu.pe.biblioteca.strategy,LoggerEventos,75,0,0,0,16,0,4,0,4,0
BibliotecaSolidGoF,edu.pe.biblioteca.strategy,MultaPorTramo,2,23,1,5,1,8,1,4,0,2
